Trial ID,Crab ID,Date,EDS,Day,Pleopod Number,Crab Eggs,Adult Nicos,Larval Nicos,Nico Eggs,Nemerteans,Temperature
Mortality-033,ANT-GAV-031,02/02/2023,M,46,NA,NA,NA,NA,NA,NA,12
Mortality-034,ANT-GAV-034,02/03/2023,K,42,7,1198,4,457,504,1,12
Mortality-037,ANT-GAV-034,02/06/2023,M,45,NA,NA,NA,NA,NA,NA,11
Mortality-038.1,ANT-GAV-046,02/06/2023,F,25,7,1661,0,2,12,2,12
Mortality-039.1,ANT-GAV-047,02/06/2023,F,26,2,1394,0,1,13,0,12
Mortality-040,ANT-GAV-042,02/07/2023,G,29,8,1208,2,1,16,0,12
Mortality-041,ANT-GAV-046,02/09/2023,G,28,3,1178,1,0,2,3,14
Mortality-042,ANT-GAV-047,02/09/2023,G,29,7,1390,0,0,13,1,14
Mortality-043,ANT-GAV-044,02/09/2023,F,25,6,1583,0,0,2,0,14
Mortality-044,ANT-GAV-042,02/10/2023,H,32,5,1479,0,0,0,0,14
Mortality-045,ANT-GAV-048,02/11/2023,F,25,7,1978,1,0,33,0,14
Mortality-046,ANT-GAV-046,02/12/2023,H,31,7,1086,0,0,127,1,12
Mortality-047,ANT-GAV-047,02/12/2023,I,32,8,1047,0,0,19,0,12
Mortality-048,ANT-GAV-044,02/12/2023,G,28,5,1349,1,0,6,4,12
Morality-049,ANT-GAV-042,02/13/2023,I,35,2,1621,1,2,46,1,12
Mortality-050,ANT-GAV-048,02/14/2023,G,28,6,1099,0,0,7,1,12
Mortality-051,ANT-GAV-046,02/15/2023,I,34,5,1309,3,0,37,1,12
Mortality-052,ANT-GAV-047,02/15/2023,I,35,8,1271,0,1,47,0,12
Mortality-053,ANT-GAV-044,02/15/2023,I,33,1,1023,0,0,7,0,12
Mortality-054,ANT-GAV-045,02/16/2023,F,26,4,1746,87,3,1435,0,12
Mortality-055,ANT-GAV-042,02/16/2023,I,38,7,1775,2,0,12,0,12
Mortality-056,ANT-GAV-048,02/17/2023,H,31,8,1652,0,0,0,0,12
Mortality-057,ANT-GAV-044,02/18/2023,I,34,3,1328,0,0,9,0,12
Mortality-058,ANT-GAV-046,02/18/2023,I,37,2,1694,1,5,28,0,12
Mortality-059,ANT-GAV-047,02/18/2023,I,38,7,1303,1,4,39,1,12
Mortality-060,ANT-GAV-042,02/19/2023,K,41,4,1649,3,38,91,0,12
Mortality-061,ANT-GAV-045,02/19/2023,G,29,6,2949,117,0,3153,1,12
Mortality-062,ANT-GAV-048,02/20/2023,I,34,4,1923,1,10,82,1,14
Mortality-063,ANT-GAV-043,02/20/2023,F,24,5,1121,1,0,37,0,14
Mortality-064,ANT-GAV-044,02/21/2023,I,37,7,1674,2,1,13,0,14
Mortality-065,ANT-GAV-046,02/21/2023,J,40,1,1774,2,32,94,1,14
Mortality-066,ANT-GAV-047,02/21/2023,J,41,7,1759,4,13,123,1,14
Mortality-067,ANT-GAV-042,02/22/2023,M,44,NA,NA,NA,NA,NA,NA,12
Mortality-068,ANT-GAV-045,02/22/2023,I,32,4,1189,74,0,2516,0,12
Mortality-069,ANT-GAV-049,02/23/2023,F,24,6,1410,0,0,10,0,12
Mortality-070,ANT-GAV-043,02/23/2023,G,27,3,1617,2,0,61,0,12
Mortality-071,ANT-GAV-048,02/23/2023,I,37,3,1037,0,0,30,1,12
Mortality-072,ANT-GAV-044,02/24/2023,J,40,5,1397,0,0,20,2,12
Mortality-073,ANT-GAV-046,02/24/2023,K,43,6,1402,2,80,146,0,12
Mortality-074,ANT-GAV-047,02/24/2023,K,44,1,1052,1,31,73,0,12
Mortality-075,ANT-GAV-045,02/25/2023,I,35,1,1387,42,1,2473,0,12
Mortality-076,ANT-GAV-043,02/26/2023,I,30,1,1084,1,0,22,1,14
Mortality-077,ANT-GAV-048,02/26/2023,J,40,7,1577,0,4,32,5,14
Mortality-078,ANT-GAV-049,02/26/2023,F,27,3,2006,4,2,39,0,14
Mortality-079,ANT-GAV-044,02/27/2023,K,42,8,1450,0,11,6,0,12
Mortality-080,ANT-GAV-046,02/27/2023,M,46,NA,NA,NA,NA,NA,NA,12
Mortality-081,ANT-GAV-045,02/28/2023,K,38,2,1947,56,102,4267,0,14
Mortality-082,ANT-GAV-043,03/01/2023,I,33,2,1600,0,0,4,1,14
Mortality-083,ANT-GAV-048,03/01/2023,K,43,6,1460,0,18,34,0,14
Mortality-084,ANT-GAV-049,03/01/2023,G,30,5,1433,4,0,143,1,14
Mortality-085,ANT-GAV-044,03/02/2023,M,45,NA,NA,NA,NA,NA,NA,14
Mortality-086,ANT-GAV-045,03/03/2023,L,41,8,1139,6,58,2256,2,14
Mortality-087,ANT-GAV-048,03/04/2023,M,46,NA,NA,NA,NA,NA,NA,14
Mortality-088,ANT-GAV-043,03/04/2023,I,36,4,1352,14,13,143,1,14
Mortality-089,ANT-GAV-049,03/04/2023,I,33,6,1372,5,4,260,1,14
Mortality-090,ANT-GAV-045,03/06/2023,M,NA,7,NA,2,7,NA,0,14
Mortality-091,ANT-GAV-043,03/07/2023,I,39,4,1406,3,19,136,2,12
Mortality-092,ANT-GAV-049,03/07/2023,I,36,6,1177,5,4,158,3,12
Mortality-093,ANT-GAV-043,03/10/2023,J,42,2,1001,0,1,9,1,
Mortality-094,ANT-GAV-043,03/13/2023,K,45,5,2434,19,342,1174,4,14
Mortality-095,ANT-GAV-054,04/02/2023,F,21,4,1880,16,9,178,1,12
Mortality-096,ANT-GAV-057,04/02/2023,F,24,6,1566,3,0,74,1,12
Mortality-097,ANT-GAV-054,04/05/2023,F,24,8,1520,3,0,107,0,12
Mortality-098,ANT-GAV-057,04/05/2023,G,27,2,1489,0,0,28,1,12
Mortality-099,ANT-GAV-053,04/06/2023,F,22,3,1654,15,0,557,0,12
Mortality-100,ANT-GAV-055,04/07/2023,F,24,2,1227,1,1,2,1,10
Mortality-101,ANT-GAV-054,04/08/2023,G,27,3,1300,4,1,278,0,12
Mortality-102,ANT-GAV-057,04/08/2023,I,30,6,1131,3,4,120,0,12
Mortality-103,ANT-GAV-053,04/09/2023,F,25,5,1319,11,0,571,3,12
Mortality-104,ANT-GAV-050,04/09/2023,F,25,1,1088,5,2,348,4,12
Mortality-105,ANT-GAV-055,04/10/2023,F,27,6,1311,1,0,35,1,12
Mortality-106,ANT-GAV-054,04/11/2023,H,30,1,1247,0,0,7,0,12
Mortality-107,ANT-GAV-057,04/11/2023,I,33,7,1304,4,9,316,0,12
Mortality-108,ANT-GAV-059,04/11/2023,F,23,5,1170,0,0,0,0,12
Mortality-109,ANT-GAV-050,04/12/2023,G,28,6,1187,1,16,102,0,12
Mortality-110,ANT-GAV-053,04/12/2023,G,28,3,1028,6,5,594,0,12
Mortality-111,ANT-GAV-052,04/13/2023,F,,2,1000,3,0,211,0,12
Mortality-112,ANT-GAV-054,04/14/2023,I,33,1,1069,1,11,43,0,12
Mortality-113,ANT-GAV-057,04/14/2023,I,36,4,1027,0,23,119,0,12
Mortality-114,ANT-GAV-059,04/14/2023,G,26,5,1167,0,1,0,0,12
Mortality-115,ANT-GAV-050,04/15/2023,I,31,2,1032,3,3,124,1,14
Mortality-116,ANT-GAV-053,04/15/2023,I,31,6,1097,3,30,413,0,14
Mortality-117,ANT-GAV-052,04/16/2023,G,28,2,1058,3,0,468,0,10
Mortality-118,ANT-GAV-055,04/16/2023,G,30,3,1023,0,6,36,0,10
Mortality-119,ANT-GAV-054,04/17/2023,I,36,6,1464,11,186,825,2,12
Mortality-120,ANT-GAV-057,04/17/2023,J,39,6,1236,2,45,171,0,12
Mortality-121,ANT-GAV-059,04/17/2023,H,29,2,1069,5,0,36,5,12
Mortality-122,ANT-GAV-053,04/18/2023,I,34,6,1132,3,430,428,0,12
Mortality-123,ANT-GAV-050,04/18/2023,I,34,7,1005,0,4,99,0,12
Mortality-124,ANT-GAV-056,04/18/2023,F,26,8,1020,0,0,0,1,12
Mortality-125,ANT-GAV-052,04/19/2023,I,31,4,1130,11,30,1073,0,12
Mortality-126,ANT-GAV-055,04/19/2023,I,33,7,1033,0,0,0,0,12
Mortality-127,ANT-GAV-054,04/20/2023,I,39,6,1687,8,162,839,0,12
Mortality-128,ANT-GAV-057,04/20/2023,K,42,5,1392,1,121,239,0,12
Mortality-129,ANT-GAV-059,04/20/2023,I,32,1,1105,3,0,37,0,12
Mortality-130,ANT-GAV-050,04/21/2023,I,37,7,1060,3,20,103,0,14
Mortality-131,ANT-GAV-053,04/21/2023,I,37,8,1056,0,122,1097,0,14
Mortality-132,ANT-GAV-056,04/21/2023,G,29,1,1064,1,0,1,0,14
Mortality-134,ANT-GAV-055,04/22/2023,I,36,6,1140,0,11,10,0,12
Mortality-135,ANT-GAV-054,04/23/2023,K,42,1,1547,13,341,893,2,12
Mortality-136,ANT-GAV-057,04/23/2023,M,45,NA,NA,NA,NA,NA,NA,12
Mortality-137,ANT-GAV-059,04/23/2023,I,35,8,1090,2,3,68,4,12
Mortality-138,ANT-GAV-053,04/24/2023,K,40,5,1183,11,376,1410,0,12
Mortality-139,ANT-GAV-050,04/24/2023,J,40,2,1023,9,261,696,6,12
Mortality-140,ANT-GAV-056,04/24/2023,I,32,1,1232,1,3,8,0,12
Mortality-142,ANT-GAV-055,04/25/2023,I,39,3,1042,0,7,38,0,12
Mortality-143,ANT-GAV-054,04/26/2023,M,45,5,NA,NA,NA,NA,NA,12
Mortality-144,ANT-GAV-059,04/26/2023,I,38,4,1056,0,1,53,0,12
Motrality-145,ANT-GAV-052,04/26/2023,I,38,6,1670,8,340,2541,1,12
Mortality-146,ANT-GAV-053,04/28/2023,M,44,NA,NA,NA,NA,NA,NA,12
Mortality-147,ANT-GAV-050,04/28/2023,M,44,NA,NA,NA,NA,NA,NA,12
Mortality-148,ANT-GAV-056,04/28/2023,I,35,3,1100,0,8,91,0,12
Mortality-149,ANT-GAV-052,04/28/2023,I,40,7,1371,8,797,2438,1,12
Mortality-150,ANT-GAV-055,04/28/2023,J,42,2,1642,1,25,29,0,12
Mortality-151,ANT-GAV-059,04/29/2023,K,41,2,1300,2,24,165,1,12
Mortality-152,ANT-GAV-051,04/29/2023,F,26,3,1045,13,0,261,0,12
Mortality-153,ANT-GAV-056,04/30/2023,I,38,4,1166,2,25,88,1,12
Mortality-154,ANT-GAV-052,05/01/2023,K,43,1,1298,14,959,2388,0,12
Mortality-155,ANT-GAV-055,05/01/2023,M,45,3,NA,NA,NA,NA,NA,12
Mortality-156,ANT-GAV-060,05/01/2023,G,29,4,1052,7,0,245,0,12
Mortality-157,ANT-GAV-056,05/02/2023,J,41,1,1406,3,0,200,0,
Mortality-158,ANT-GAV-052,05/03/2023,M,45,NA,NA,NA,NA,NA,NA,12
Mortality-159,ANT-GAV-060,05/04/2023,I,32,7,1021,7,0,1045,0,
Mortality-160,ANT-GAV-059,05/04/2023,M,NA,NA,NA,NA,NA,NA,NA,12
Mortality-161,ANT-GAV-051,05/05/2023,I,32,5,1131,5,3,189,0,
Mortality-162,ANT-GAV-056,05/06/2023,M,45,NA,NA,NA,NA,NA,NA,NA
Mortality-163,ANT-GAV-060,05/08/2023,I,35,1,1104,12,22,1409,0,
Mortality-164,ANT-GAV-051,05/08/2023,I,35,4,1210,24,8,1622,0,14
Mortality-165,ANT-GAV-060,05/10/2023,J,38,4,1170,6,210,1376,0,
Mortality-166,ANT-GAV-051,05/13/2023,J,38,2,1094,6,139,1076,0,
Mortality-167,ANT-GAV-060,05/13/2023,K,41,7,1603,27,582,2331,1,14
Mortality-168,ANT-GAV-051,05/16/2023,NA,41,NA,NA,NA,NA,NA,NA,NA
Mortality-169,ANT-GAV-060,05/16/2023,M,44,NA,NA,NA,NA,NA,NA,14
