Trial ID,Crab ID,Date,EDS,Day,Pleopod Number,Crab Eggs,Adult Nicos,Larval Nicos,Nico Eggs,Nemerteans
Autoinfection-058,ANT-GAV-002,04/17/2022,G,24,2,1041,5,0,312,0
Autoinfection-059,ANT-GAV-003,04/17/2022,F,26,2,1196,0,1,2,0
Autoinfection-060,ANT-GAV-004,04/17/2022,I,34,2,1005,0,0,46,1
Autoinfection-061,ANT-GAV-005,04/17/2022,D,12,2,1179,0,11,0,1
Autoinfection-062,ANT-GAV-006,04/18/2022,G,30,2,894,4,0,96,1
Autoinfection-063,ANT-GAV-007,04/18/2022,I,30,2,1061,3,2,142,0
Autoinfection-064,ANT-GAV-008,04/19/2022,M,45,,0,2,1,35,0
Autoinfection-065,ANT-GAV-010,04/19/2022,J,39,2,1012,0,6,15,1
Autoinfection-066,ANT-GAV-012,04/19/2022,I,34,2,1000,2,5,43,1
Autoinfection-067,ANT-GAV-013,04/19/2022,I,33,2,1084,2,7,43,0
Autoinfection-068,ANT-GAV-014,04/19/2022,M,47,,0,5,10,48,0
Autoinfection-069,ANT-GAV-015,04/19/2022,K,41,2,1017,4,13,355,0
Autoinfection-070,ANT-GAV-001,04/20/2022,H,27,2,1158,12,0,437,0
Autoinfection-071,ANT-GAV-002,04/20/2022,I,27,2,1106,3,2,137,0
Autoinfection-072,ANT-GAV-003,04/20/2022,G,29,2,1015,1,0,16,0
Autoinfection-073,ANT-GAV-004,04/20/2022,J,37,2,1029,2,0,57,0
Autoinfection-074,ANT-GAV-005,4/20/2022,E,15,2,1063,4,3,4,4
Autoinfection-075,ANT-GAV-006,04/21/2022,I,33,2,1020,2,0,95,2
Autoinfection-076,ANT-GAV-007,04/21/2022,I,33,2,1053,6,0,94,0
Autoinfection-077,ANT-GAV-010,04/22/22,L,42,2,1006,0,5,18,0
Autoinfection-078,ANT-GAV-012,04/22/2022,I,37,2,1089,2,12,60,0
Autoinfection-079,ANT-GAV-013,04/22/22,I,36,2,1002,1,7,69,0
Autoinfection-080,ANT-GAV-015,04/22/2022,M,44,2,1080,1,9,76,0
Autoinfection-081,ANT-GAV-001,04/23/2022,I,30,2,1005,18,0,847,0
Autoinfection-082,ANT-GAV-002,04/23/2022,I,30,2,1004,2,0,138,0
Autoinfection-083,ANT-GAV-003,04/23/2022,I,31,2,1070,0,0,1,1
Autoinfection-084,ANT-GAV-004,04/23/2022,K,40,2,1052,0,0,31,0
Autoinfection-085,ANT-GAV-005,4/23/2022,E,18,2,1071,1,1,11,2
Autoinfection-086,ANT-GAV-006,4/24/2022,I,36,2,1003,2,2,133,1
Autoinfection-087,ANT-GAV-007,4/24/2022,I,36,2,1112,8,5,385,0
Autoinfection-088,ANT-GAV-012,4/25/22,K,40,2,1021,2,1,30,5
Autoinfection-089,ANT-GAV-013,4/25/22,J,39,2,950,1,0,41,0
Autoinfection-090,ANT-GAV-001,04/26/2022,I,33,2,1020,25,3,1159,0
Autoinfection-091,ANT-GAV-002,04/26/2022,I,33,2,1040,5,0,208,0
Autoinfection-092,ANT-GAV-003,04/26/2022,I,33,2,1011,0,0,36,0
Autoinfection-093,ANT-GAV-005,4/26/2022,E,21,2,1023,6,1,24,3
Autoinfection-094,ANT-GAV-015,04/26/2022,M,47,,0,31,36,1213,0
Autoinfection-095,ANT-GAV-010,04/26/2022,M,45,,0,16,2,108,0
Autoinfection-096,ANT-GAV-007,04/27/2022,J,39,2,1030,2,20,110,0
Autoinfection-097,ANT-GAV-006,04/27/2022,I,39,2,1205,4,6,154,0
Autoinfection-098,ANT-GAV-012,04/28/2022,L,43,2,1101,3,22,75,0
Autoinfection-099,ANT-GAV-013,04/28/2022,L,42,2,1019,1,18,26,0
Autoinfection-100,ANT-GAV-001,04/29/2022,I,36,2,1881,40,702,2671,0
Autoinfection-101,ANT-GAV-002,04/29/2022,I,36,2,991,2,0,57,0
Autoinfection-102,ANT-GAV-003,04/29/2022,I,36,2,1016,1,2,6,0
Autoinfection-103,ANT-GAV-005,4/29/2022,E,24,2,1051,9,0,79,0
Autoinfection-104,ANT-GAV-006,4/30/2022,K,42,2,1024,1,11,161,2
Autoinfection-105,ANT-GAV-007,4/30/2022,K,42,2,1033,2,5,92,1
Autoinfection-106,ANT-GAV-012,5/1/2022,M,46,,0,0,0,0,0
Autoinfection-107,ANT-GAV-013,5/1/2022,M,45,,0,0,0,153,0
Autoinfection-108,ANT-GAV-005,05/02/2022,F,27,2,998,19,6,497,0
Autoinfection-109,ANT-GAV-001,05/02/2022,J,39,2,1000,0,0,1008,0
Autoinfection-110,ANT-GAV-002,05/02/2022,J,39,2,1001,0,9,0,0
Autoinfection-111,ANT-GAV-003,05/02/2022,J,39,2,1000,0,1,9,0
Autoinfection-112,ANT-GAV-006,05/03/2022,M,45,,1059,1,47,360,0
Autoinfection-113,ANT-GAV-007,05/03/2022,M,45,2,1084,0,5,394,0
Autoinfection-114,ANT-GAV-001,05/05/2022,K,41,2,1253,1,107,212,0
Autoinfection-115,ANT-GAV-002,05/05/2022,L,42,2,1060,0,0,0,0
Autoinfection-116,ANT-GAV-003,05/05/2022,K,42,2,1005,0,5,88,0
Autoinfection-117,ANT-GAV-005,05/05/2022,G,30,2,1029,14,0,291,1
Autoinfection-118,ANT-GAV-006,05/06/2022,M,48,,0,0,0,356,0
Autoinfection-119,ANT-GAV-007,05/06/2022,M,48,,0,0,0,692,0
Autoinfection-120,ANT-GAV-002,05/07/2022,M,45,NA,NA,5,4,282,1
Autoinfection-121,ANT-GAV-001,05/08/2022,L,44,2,1096,0,0,500,0
Autoinfection-122,ANT-GAV-003,05/08/2022,M,45,NA,1100,0,0,46,0
Autoinfection-123,ANT-GAV-005,05/08/2022,I,33,2,1009,22,0,766,1
Autoinfection-124,ANT-GAV-003,05/09/2022,M,46,NA,0,0,0,801,0
Autoinfection-126,ANT-GAV-005,05/11/2022,I,36,2,1004,12,14,1174,2
Autoinfection-130,ANT-GAV-005,05/14/2022,J,39,2,1048,4,50,664,1
Autoinfection-134,ANT-GAV-005,05/17/2022,K,42,2,991,4,171,565,2
Autoinfection-138,ANT-GAV-005,05/20/2022,L,45,2,1032,3,0,274,0
Autoinfection-142,ANT-GAV-005,05/23/2022,M,48,2,0,38,79,926,0
